date,tmax_f,source
2022-09-28,69.50,open_meteo_gfs_seamless_historical_forecast
2022-09-29,66.60,open_meteo_gfs_seamless_historical_forecast
2022-09-30,62.10,open_meteo_gfs_seamless_historical_forecast
2022-10-01,59.90,open_meteo_gfs_seamless_historical_forecast
2022-10-02,58.70,open_meteo_gfs_seamless_historical_forecast
2022-10-03,51.80,open_meteo_gfs_seamless_historical_forecast
2022-10-04,53.70,open_meteo_gfs_seamless_historical_forecast
2022-10-05,58.80,open_meteo_gfs_seamless_historical_forecast
2022-10-06,76.10,open_meteo_gfs_seamless_historical_forecast
2022-10-07,78.40,open_meteo_gfs_seamless_historical_forecast
2022-10-08,59.80,open_meteo_gfs_seamless_historical_forecast
2022-10-09,63.10,open_meteo_gfs_seamless_historical_forecast
2022-10-10,68.90,open_meteo_gfs_seamless_historical_forecast
2022-10-11,71.90,open_meteo_gfs_seamless_historical_forecast
2022-10-12,70.60,open_meteo_gfs_seamless_historical_forecast
2022-10-13,71.10,open_meteo_gfs_seamless_historical_forecast
2022-10-14,66.10,open_meteo_gfs_seamless_historical_forecast
2022-10-15,70.40,open_meteo_gfs_seamless_historical_forecast
2022-10-16,65.90,open_meteo_gfs_seamless_historical_forecast
2022-10-17,66.70,open_meteo_gfs_seamless_historical_forecast
2022-10-18,57.20,open_meteo_gfs_seamless_historical_forecast
2022-10-19,54.60,open_meteo_gfs_seamless_historical_forecast
2022-10-20,59.90,open_meteo_gfs_seamless_historical_forecast
2022-10-21,64.60,open_meteo_gfs_seamless_historical_forecast
2022-10-22,67.70,open_meteo_gfs_seamless_historical_forecast
2022-10-23,61.80,open_meteo_gfs_seamless_historical_forecast
2022-10-24,60.20,open_meteo_gfs_seamless_historical_forecast
2022-10-25,68.90,open_meteo_gfs_seamless_historical_forecast
2022-10-26,71.90,open_meteo_gfs_seamless_historical_forecast
2022-10-27,67.10,open_meteo_gfs_seamless_historical_forecast
2022-10-28,56.60,open_meteo_gfs_seamless_historical_forecast
2022-10-29,59.90,open_meteo_gfs_seamless_historical_forecast
2022-10-30,65.30,open_meteo_gfs_seamless_historical_forecast
2022-10-31,65.20,open_meteo_gfs_seamless_historical_forecast
2022-11-01,68.00,open_meteo_gfs_seamless_historical_forecast
2022-11-02,72.40,open_meteo_gfs_seamless_historical_forecast
2022-11-03,68.90,open_meteo_gfs_seamless_historical_forecast
2022-11-04,71.20,open_meteo_gfs_seamless_historical_forecast
2022-11-05,76.30,open_meteo_gfs_seamless_historical_forecast
2022-11-06,74.00,open_meteo_gfs_seamless_historical_forecast
2022-11-07,78.70,open_meteo_gfs_seamless_historical_forecast
2022-11-08,58.30,open_meteo_gfs_seamless_historical_forecast
2022-11-09,53.90,open_meteo_gfs_seamless_historical_forecast
2022-11-10,67.10,open_meteo_gfs_seamless_historical_forecast
2022-11-11,67.40,open_meteo_gfs_seamless_historical_forecast
2022-11-12,69.40,open_meteo_gfs_seamless_historical_forecast
2022-11-13,59.90,open_meteo_gfs_seamless_historical_forecast
2022-11-14,46.10,open_meteo_gfs_seamless_historical_forecast
2022-11-15,44.10,open_meteo_gfs_seamless_historical_forecast
2022-11-16,48.20,open_meteo_gfs_seamless_historical_forecast
2022-11-17,46.00,open_meteo_gfs_seamless_historical_forecast
2022-11-18,43.60,open_meteo_gfs_seamless_historical_forecast
2022-11-19,40.10,open_meteo_gfs_seamless_historical_forecast
2022-11-20,36.50,open_meteo_gfs_seamless_historical_forecast
2022-11-21,40.90,open_meteo_gfs_seamless_historical_forecast
2022-11-22,50.90,open_meteo_gfs_seamless_historical_forecast
2022-11-23,55.60,open_meteo_gfs_seamless_historical_forecast
2022-11-24,52.90,open_meteo_gfs_seamless_historical_forecast
2022-11-25,54.20,open_meteo_gfs_seamless_historical_forecast
2022-11-26,56.70,open_meteo_gfs_seamless_historical_forecast
2022-11-27,58.60,open_meteo_gfs_seamless_historical_forecast
2022-11-28,54.30,open_meteo_gfs_seamless_historical_forecast
2022-11-29,42.80,open_meteo_gfs_seamless_historical_forecast
2022-11-30,57.00,open_meteo_gfs_seamless_historical_forecast
2022-12-01,43.20,open_meteo_gfs_seamless_historical_forecast
2022-12-02,42.80,open_meteo_gfs_seamless_historical_forecast
2022-12-03,56.40,open_meteo_gfs_seamless_historical_forecast
2022-12-04,45.50,open_meteo_gfs_seamless_historical_forecast
2022-12-05,46.80,open_meteo_gfs_seamless_historical_forecast
2022-12-06,56.10,open_meteo_gfs_seamless_historical_forecast
2022-12-07,58.10,open_meteo_gfs_seamless_historical_forecast
2022-12-08,53.90,open_meteo_gfs_seamless_historical_forecast
2022-12-09,45.70,open_meteo_gfs_seamless_historical_forecast
2022-12-10,39.00,open_meteo_gfs_seamless_historical_forecast
2022-12-11,38.30,open_meteo_gfs_seamless_historical_forecast
2022-12-12,36.80,open_meteo_gfs_seamless_historical_forecast
2022-12-13,40.10,open_meteo_gfs_seamless_historical_forecast
2022-12-14,40.30,open_meteo_gfs_seamless_historical_forecast
2022-12-15,40.40,open_meteo_gfs_seamless_historical_forecast
2022-12-16,43.20,open_meteo_gfs_seamless_historical_forecast
2022-12-17,43.90,open_meteo_gfs_seamless_historical_forecast
2022-12-18,39.00,open_meteo_gfs_seamless_historical_forecast
2022-12-19,37.70,open_meteo_gfs_seamless_historical_forecast
2022-12-20,38.50,open_meteo_gfs_seamless_historical_forecast
2022-12-21,39.80,open_meteo_gfs_seamless_historical_forecast
2022-12-22,44.40,open_meteo_gfs_seamless_historical_forecast
2022-12-23,57.10,open_meteo_gfs_seamless_historical_forecast
2022-12-24,14.10,open_meteo_gfs_seamless_historical_forecast
2022-12-25,26.90,open_meteo_gfs_seamless_historical_forecast
2022-12-26,28.10,open_meteo_gfs_seamless_historical_forecast
2022-12-27,34.70,open_meteo_gfs_seamless_historical_forecast
2022-12-28,47.30,open_meteo_gfs_seamless_historical_forecast
2022-12-29,50.50,open_meteo_gfs_seamless_historical_forecast
2022-12-30,59.40,open_meteo_gfs_seamless_historical_forecast
2022-12-31,51.00,open_meteo_gfs_seamless_historical_forecast
2023-01-01,54.40,open_meteo_gfs_seamless_historical_forecast
2023-01-02,55.60,open_meteo_gfs_seamless_historical_forecast
2023-01-03,52.90,open_meteo_gfs_seamless_historical_forecast
2023-01-04,65.30,open_meteo_gfs_seamless_historical_forecast
2023-01-05,48.40,open_meteo_gfs_seamless_historical_forecast
2023-01-06,47.20,open_meteo_gfs_seamless_historical_forecast
2023-01-07,44.20,open_meteo_gfs_seamless_historical_forecast
2023-01-08,41.20,open_meteo_gfs_seamless_historical_forecast
2023-01-09,44.60,open_meteo_gfs_seamless_historical_forecast
2023-01-10,41.40,open_meteo_gfs_seamless_historical_forecast
2023-01-11,38.90,open_meteo_gfs_seamless_historical_forecast
2023-01-12,54.50,open_meteo_gfs_seamless_historical_forecast
2023-01-13,55.40,open_meteo_gfs_seamless_historical_forecast
2023-01-14,37.30,open_meteo_gfs_seamless_historical_forecast
2023-01-15,39.80,open_meteo_gfs_seamless_historical_forecast
2023-01-16,47.60,open_meteo_gfs_seamless_historical_forecast
2023-01-17,45.70,open_meteo_gfs_seamless_historical_forecast
2023-01-18,53.20,open_meteo_gfs_seamless_historical_forecast
2023-01-19,44.30,open_meteo_gfs_seamless_historical_forecast
2023-01-20,48.10,open_meteo_gfs_seamless_historical_forecast
2023-01-21,41.60,open_meteo_gfs_seamless_historical_forecast
2023-01-22,41.20,open_meteo_gfs_seamless_historical_forecast
2023-01-23,37.80,open_meteo_gfs_seamless_historical_forecast
2023-01-24,45.50,open_meteo_gfs_seamless_historical_forecast
2023-01-25,51.80,open_meteo_gfs_seamless_historical_forecast
2023-01-26,55.20,open_meteo_gfs_seamless_historical_forecast
2023-01-27,41.90,open_meteo_gfs_seamless_historical_forecast
2023-01-28,53.00,open_meteo_gfs_seamless_historical_forecast
2023-01-29,54.10,open_meteo_gfs_seamless_historical_forecast
2023-01-30,54.50,open_meteo_gfs_seamless_historical_forecast
2023-01-31,47.60,open_meteo_gfs_seamless_historical_forecast
2023-02-01,38.30,open_meteo_gfs_seamless_historical_forecast
2023-02-02,39.70,open_meteo_gfs_seamless_historical_forecast
2023-02-03,33.40,open_meteo_gfs_seamless_historical_forecast
2023-02-04,23.20,open_meteo_gfs_seamless_historical_forecast
2023-02-05,46.80,open_meteo_gfs_seamless_historical_forecast
2023-02-06,51.20,open_meteo_gfs_seamless_historical_forecast
2023-02-07,41.70,open_meteo_gfs_seamless_historical_forecast
2023-02-08,53.30,open_meteo_gfs_seamless_historical_forecast
2023-02-09,51.80,open_meteo_gfs_seamless_historical_forecast
2023-02-10,59.40,open_meteo_gfs_seamless_historical_forecast
2023-02-11,46.30,open_meteo_gfs_seamless_historical_forecast
2023-02-12,48.80,open_meteo_gfs_seamless_historical_forecast
2023-02-13,57.80,open_meteo_gfs_seamless_historical_forecast
2023-02-14,54.70,open_meteo_gfs_seamless_historical_forecast
2023-02-15,65.80,open_meteo_gfs_seamless_historical_forecast
2023-02-16,68.90,open_meteo_gfs_seamless_historical_forecast
2023-02-17,61.00,open_meteo_gfs_seamless_historical_forecast
2023-02-18,43.20,open_meteo_gfs_seamless_historical_forecast
2023-02-19,47.90,open_meteo_gfs_seamless_historical_forecast
2023-02-20,61.20,open_meteo_gfs_seamless_historical_forecast
2023-02-21,50.20,open_meteo_gfs_seamless_historical_forecast
2023-02-22,44.40,open_meteo_gfs_seamless_historical_forecast
2023-02-23,40.90,open_meteo_gfs_seamless_historical_forecast
2023-02-24,44.00,open_meteo_gfs_seamless_historical_forecast
2023-02-25,32.80,open_meteo_gfs_seamless_historical_forecast
2023-02-26,50.70,open_meteo_gfs_seamless_historical_forecast
2023-02-27,44.30,open_meteo_gfs_seamless_historical_forecast
2023-02-28,35.10,open_meteo_gfs_seamless_historical_forecast
2023-03-01,42.80,open_meteo_gfs_seamless_historical_forecast
2023-03-02,53.60,open_meteo_gfs_seamless_historical_forecast
2023-03-03,45.20,open_meteo_gfs_seamless_historical_forecast
2023-03-04,43.20,open_meteo_gfs_seamless_historical_forecast
2023-03-05,53.70,open_meteo_gfs_seamless_historical_forecast
2023-03-06,52.70,open_meteo_gfs_seamless_historical_forecast
2023-03-07,47.10,open_meteo_gfs_seamless_historical_forecast
2023-03-08,47.10,open_meteo_gfs_seamless_historical_forecast
2023-03-09,50.40,open_meteo_gfs_seamless_historical_forecast
2023-03-10,44.30,open_meteo_gfs_seamless_historical_forecast
2023-03-11,42.40,open_meteo_gfs_seamless_historical_forecast
